Kecamatan,Jumlah Penduduk Miskin Ekstrem,Jumlah Penduduk Miskin,Jumlah Penduduk Pra Sejahtera,Jumlah Penduduk Sejahtera,Total Penduduk Berdasarkan Status Kesejahteraan,Indeks Kesejahteraan Sosial,Indeks Sosial Dibanding Rata-rata Kota,Jumlah Penduduk Usia 0-14 Tahun,Jumlah Penduduk Usia Produktif 15-64 Tahun,Jumlah Penduduk Usia 65 Tahun ke Atas,Rasio Ketergantungan Penduduk,Faktor Penyesuaian Demografi,Indeks IPDB Tahun 2025,Kategori IPDB,Estimasi Pengeluaran per Kapita per Bulan pendekatan Sosial-Demografi (Rupiah),Jumlah Penduduk Menurut BPS,Total Penduduk Berdasarkan Usia dan Jenis Kelamin,Laju Pertumbuhan Penduduk (%),Distribusi Penduduk terhadap Total Kota (%),Kepadatan Penduduk (Jiwa per km²),Rasio Jenis Kelamin,Jumlah Penduduk berdasarkan usia & Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,'00-04'_L,'00-04'_P,'05-09'_L,'05-09'_P,'10-14'_L,'10-14'_P,'15-19'_L,'15-19'_P,'20-24'_L,'20-24'_P,'25-29'_L,'25-29'_P,'30-34'_L,'30-34'_P,'35-39'_L,'35-39'_P,'40-44'_L,'40-44'_P,'45-49'_L,'45-49'_P,'50-54'_L,'50-54'_P,'55-59'_L,'55-59'_P,'60-64'_L,'60-64'_P,'65-69'_L,'65-69'_P,'70-74'_L,'70-74'_P,'>75'_L,'>75'_P
BENOWO,0,215,1.438,73.231,74.884,"99,1685","104,0966",17.023,54.601,4.092,"38,6715","1,0248","106,6821",Tinggi,3.099.119,75.716,75.716,"1,04","2,52",2.555,"99,68",1952,1776,2209,2094,2145,2045,2155,2002,2028,1946,1953,1988,1953,1859,1796,1768,1990,1882,1726,1791,1480,1537,1203,1173,844,875,588,716,346,375,282,372
GUNUNG ANYAR,0,122,862,61.263,62.247,"99,4077","104,3477",13.452,44.612,4.605,"40,4757","1,0117","105,566",Tinggi,3.066.696,62.669,62.669,"0,52","2,09",6.174,"97,58",2533,2291,3011,2807,3310,3071,3287,3109,3098,3169,3002,3025,2910,2835,2474,2563,3107,3234,2831,3100,2636,2735,2068,2197,1542,1679,1065,1048,564,549,359,507
PAKAL,0,762,2.551,61.246,64.559,"97,896","102,7608",14.611,47.099,3.776,"39,039","1,0221","105,0347",Tinggi,3.051.263,65.486,65.486,"1,51","2,18",3.525,"100,71",2899,2734,3597,3429,3916,3659,3970,3699,3938,3725,3722,3554,3444,3377,3168,3083,3557,3625,3427,3550,3224,3483,2803,3041,2059,2374,1548,1872,991,1273,1011,1770
WIYUNG,0,572,4.448,71.330,76.350,"97,5586","102,4067",15.690,55.271,5.809,"38,8974","1,0232","104,7795",Sedang atas,3.043.848,76.770,76.770,"0,35","2,56",6.319,"98,82",1580,1502,1938,1951,2075,2006,2066,2033,2107,1900,1860,1850,1798,1842,1704,1687,1981,1980,1748,1790,1611,1653,1272,1298,952,999,607,719,329,449,294,537
LAKARSANTRI,0,382,4.739,59.505,64.626,"97,1616","101,99",14.181,47.051,4.265,"39,2043","1,0209","104,1231",Sedang atas,3.024.780,65.497,65.497,"0,74","2,18",3.501,"99,51",1685,1496,2222,2012,2410,2275,2389,2175,2238,2112,2114,2067,2103,2180,2046,2142,2575,2594,2322,2402,1910,2064,1603,1708,1161,1530,1037,1247,772,925,702,967
RUNGKUT,0,59,8.463,114.733,123.255,"97,6793","102,5334",26.170,88.129,9.657,"40,6529","1,0104","103,5998",Sedang atas,3.009.578,123.956,123.956,"0,25","4,13",5.403,"97,18",1196,1071,1599,1494,1777,1687,1764,1715,1715,1702,1546,1583,1511,1653,1374,1501,1687,1761,1657,1778,1509,1569,1301,1443,958,1121,688,888,486,562,472,712
BULAK,0,265,2.832,44.678,47.775,"97,6543","102,5071",11.052,34.131,2.935,"40,9803","1,0081","103,3327",Sedang atas,3.001.818,48.118,48.118,"0,58","1,6",38.189,"98,87",1517,1454,2010,1992,2221,2131,2240,2212,2229,2166,2096,1987,2114,1951,1913,1870,2211,2320,1998,2063,1883,1988,1617,1772,1378,1538,1062,1306,729,1112,798,1377
TENGGILIS MEJOYO,0,232,3.461,55.228,58.921,"97,7795","102,6386",12.074,41.449,5.122,"41,4871","1,0044","103,0946",Sedang atas,2.994.901,58.645,58.645,"-0,49","1,95",10.094,"96,56",3448,3164,4588,4258,5081,4633,5116,4839,5076,4903,4860,4787,4502,4554,4143,4136,4758,5034,4780,5135,4659,5022,4126,4761,3306,3763,2370,2997,1589,2113,1663,3000
GAYUNGAN,0,211,3.305,40.216,43.732,"97,1592","101,9875",8.824,30.848,3.808,"40,9492","1,0083","102,8315",Sedang atas,2.987.260,43.480,43.480,"-0,83","1,45",7.357,"95,5",1948,1732,2406,2347,2630,2389,2505,2286,2336,2237,2314,2408,2311,2462,2219,2240,2636,2723,2421,2648,2139,2220,1713,1937,1327,1530,942,1111,636,736,467,713
